rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
206,frame_0223.jpg,89.2,0.3112,0.387,0.2857,0.16,4,2,False,False
207,frame_0100.jpg,40.0,0.3102,0.433,0.2857,0.04,4,2,False,False
208,frame_0092.jpg,36.8,0.31,0.4223,0.1429,0.28,3,1,False,False
209,frame_0282.jpg,112.8,0.3085,0.4251,0.0,0.48,2,0,False,False
210,frame_0102.jpg,40.8,0.3063,0.4788,0.1429,0.12,2,1,False,False
211,frame_0371.jpg,148.4,0.3043,0.4052,0.2857,0.08,2,2,False,False
212,frame_0383.jpg,153.2,0.3032,0.4727,0.1429,0.12,2,1,False,False
213,frame_0211.jpg,84.4,0.303,0.2643,0.1429,0.64,2,1,False,False
214,frame_0093.jpg,37.2,0.3015,0.5071,0.0,0.24,2,0,False,False
215,frame_0114.jpg,45.6,0.2998,0.3161,0.2857,0.28,6,2,False,False
216,frame_0388.jpg,155.2,0.2995,0.3636,0.2857,0.16,6,2,False,False
217,frame_0229.jpg,91.6,0.2985,0.3936,0.2857,0.08,6,2,False,False
218,frame_0315.jpg,126.0,0.2934,0.4531,0.1429,0.12,4,1,False,False
219,frame_0373.jpg,149.2,0.2918,0.4338,0.1429,0.16,4,1,False,False
220,frame_0098.jpg,39.2,0.2908,0.3942,0.2857,0.04,4,2,False,False
221,frame_0113.jpg,45.2,0.2891,0.3108,0.2857,0.24,5,2,False,False
222,frame_0200.jpg,80.0,0.2885,0.2832,0.1429,0.52,2,1,False,False
223,frame_0310.jpg,124.0,0.2845,0.3655,0.2857,0.08,3,2,False,False
224,frame_0189.jpg,75.6,0.2842,0.5363,0.0,0.08,4,0,False,False
225,frame_0221.jpg,88.4,0.2838,0.3858,0.1429,0.24,4,1,False,False
226,frame_0190.jpg,76.0,0.2831,0.3467,0.2857,0.12,3,2,False,False
227,frame_0324.jpg,129.6,0.2774,0.3513,0.2857,0.08,3,2,False,False
228,frame_0232.jpg,92.8,0.2754,0.385,0.1429,0.2,7,1,False,False
229,frame_0109.jpg,43.6,0.2714,0.3393,0.2857,0.08,6,2,False,False
230,frame_0316.jpg,126.4,0.2642,0.3787,0.1429,0.16,5,1,False,False
231,frame_0226.jpg,90.4,0.2634,0.3394,0.2857,0.04,5,2,False,False
232,frame_0089.jpg,35.6,0.2618,0.2779,0.1429,0.4,5,1,False,False
233,frame_0207.jpg,82.8,0.2521,0.1842,0.0,0.8,1,0,False,False
234,frame_0204.jpg,81.6,0.2492,0.2264,0.0,0.68,1,0,False,False
235,frame_0110.jpg,44.0,0.2457,0.3576,0.1429,0.12,1,1,False,False
236,frame_0212.jpg,84.8,0.2455,0.251,0.0,0.6,1,0,False,False
237,frame_0399.jpg,159.6,0.2437,0.2896,0.1429,0.28,5,1,False,False
238,frame_0321.jpg,128.4,0.2373,0.3088,0.1429,0.2,5,1,False,False
239,frame_0228.jpg,91.2,0.2345,0.3672,0.1429,0.04,4,1,False,False
240,frame_0271.jpg,108.4,0.233,0.45,0.0,0.04,2,0,False,False
241,frame_0393.jpg,157.2,0.2277,0.3537,0.1429,0.04,4,1,False,False
242,frame_0214.jpg,85.6,0.2262,0.2444,0.0,0.52,1,0,False,False
243,frame_0193.jpg,77.2,0.213,0.33,0.0,0.24,5,0,False,False
244,frame_0325.jpg,130.0,0.2097,0.3177,0.1429,0.04,2,1,False,False
245,frame_0370.jpg,148.0,0.2084,0.2294,0.2857,0.04,5,2,False,False
246,frame_0205.jpg,82.0,0.2083,0.1287,0.0,0.72,2,0,False,False
247,frame_0322.jpg,128.8,0.2068,0.2638,0.1429,0.16,5,1,False,False
248,frame_0272.jpg,108.8,0.1969,0.2761,0.1429,0.08,4,1,False,False
249,frame_0192.jpg,76.8,0.1952,0.2246,0.1429,0.2,3,1,False,False
250,frame_0196.jpg,78.4,0.1852,0.2265,0.0,0.36,2,0,False,False
251,frame_0313.jpg,125.2,0.185,0.354,0.0,0.04,2,0,False,False
252,frame_0172.jpg,68.8,0.162,0.1639,0.0,0.4,4,0,False,False
253,frame_0119.jpg,47.6,0.1606,0.1292,0.0,0.48,1,0,False,False
254,frame_0372.jpg,148.8,0.1595,0.271,0.0,0.12,4,0,False,False
255,frame_0181.jpg,72.4,0.1571,0.2125,0.1429,0.04,6,1,False,False
256,frame_0382.jpg,152.8,0.0799,0.1277,0.0,0.08,2,0,False,False
